Action,Custom label (SKU),Category ID,Title,Relationship,Relationship details,Start price,Quantity,Condition ID,Description,Format,Duration,Item photo URL,PostalCode,Country,Currency,SiteID,C:ShippingPolicy,C:PaymentPolicy,C:ReturnPolicy,Brand,P:UPC
,Writing automaton / mum-assembled,,,Variation,Cam=Mum|Assembly=Assembled,69.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / dad-unassembled-kit,,,Variation,Cam=Dad|Assembly=Unassembled Kit,49.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / dad-assembled,,,Variation,Cam=Dad|Assembly=Assembled,69.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / happy-bday-unassembled-kit,,,Variation,Cam=Happy Bday|Assembly=Unassembled Kit,49.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / happy-bday-assembled,,,Variation,Cam=Happy Bday|Assembly=Assembled,69.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / merry-xmas-unassembled-kit,,,Variation,Cam=Merry Xmas|Assembly=Unassembled Kit,59.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / merry-xmas-assembled,,,Variation,Cam=Merry Xmas|Assembly=Assembled,79.00,0,,,,,,,,,,,,,,Does not apply
Add,Fluttering Heart,1188,Fluttering Heart Automata Kit - Kinetic mechanical model - Valentines Gift,,,40.00,10,1000,<p>This is the physical kit. See my other listings for the digital files for this design.</p><p>My goal with this mechanical flapping Heart sculpture was to mimic the beautiful figure of 8 wing motion seen in insects and hummingbirds. The model is all made from laser cut parts which slot together in under an hour. It is reasonably easy to assemble with instructions included.</p>,FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/355899/4526666951/il_fullxfull.4526666951_igt0.jpg|https://i.etsystatic.com/25031074/r/il/506b93/4479297714/il_fullxfull.4479297714_cb0m.jpg|https://i.etsystatic.com/25031074/r/il/dd5ceb/4526667027/il_fullxfull.4526667027_lkf3.jpg|https://i.etsystatic.com/25031074/r/il/5db36f/4526666743/il_fullxfull.4526666743_q1sj.jpg|https://i.etsystatic.com/25031074/r/il/8b9fbf/4526666871/il_fullxfull.4526666871_dbd2.jpg|https://i.etsystatic.com/25031074/r/il/b9e66d/4479297878/il_fullxfull.4479297878_jsi5.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Hummingbird pole pet,1188,Wooden Hummingbird pole pet automata,,Assembly=Assembled for you;kit,,,1000,"<p>Your own  little wooden flapping hummingbird. Pull the ball to watch him flap his wings and ascend the pole.</p><p>He comes in kit form for you to slot together in about an hour, with no glue required. Digital files are also available as a separate listing if you want to laser cut or scroll saw the parts yourself.</p><p>Made with quality laser cut Birch plywood. This mechanism uses two pulleys of different diameter. This means when tension is placed on the string, there will be more torque in one direction causing the spool to wind it's way up the pole as if by magic. Great as an educational toy or an elegant desktop sculpture.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/2f7cf2/3979887369/il_fullxfull.3979887369_p0lp.jpg|https://i.etsystatic.com/25031074/r/il/00b375/3979887447/il_fullxfull.3979887447_rudc.jpg|https://i.etsystatic.com/25031074/r/il/1594f7/3932431940/il_fullxfull.3932431940_qg9d.jpg|https://i.etsystatic.com/25031074/r/il/1db187/3932431896/il_fullxfull.3932431896_qvth.jpg|https://i.etsystatic.com/25031074/r/il/593018/3932431826/il_fullxfull.3932431826_9yuo.jpg|https://i.etsystatic.com/25031074/r/il/983413/3979887537/il_fullxfull.3979887537_khtb.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Hummingbird pole pet / assembled-for-you,,,Variation,Assembly=Assembled for you,69.00,9,,,,,,,,,,,,,,Does not apply
